indice,fecha,Temperatura_prom,Temperatura_max,Temperatura_min,Humedad_prom
596,2014-08-23,20.51645833333333,26.2,17.3,65.01145833333334
597,2014-08-24,22.696458333333332,29.3,17.7,58.464444444444474
598,2014-08-25,21.511666666666642,27.8,16.7,63.207291666666706
599,2014-08-26,21.273888888888827,26.9,18.3,65.37756944444433
600,2014-08-27,21.156597222222256,26.4,18.2,64.20812499999995
601,2014-08-28,20.482222222222134,25.3,17.3,66.20361111111112
602,2014-08-29,22.730486111111045,28.6,17.7,54.124791666666624
603,2014-08-30,23.62111111111117,28.6,19.1,39.63791666666668
604,2014-08-31,23.578248783877665,28.8,17.5,44.45719249478812
605,2014-09-01,24.200486787204326,29.2,18.8,44.49631432545212
606,2014-09-02,22.73229166666668,27.3,19.9,58.32493055555553
607,2014-09-03,22.97326388888892,29.4,18.0,55.62541666666659
608,2014-09-04,22.67326388888888,28.5,17.1,56.497708333333385
609,2014-09-05,23.401805555555555,29.3,18.1,51.465138888888944
610,2014-09-06,23.518402777777837,28.4,19.8,51.86388888888886
611,2014-09-07,23.425972222222235,28.4,18.7,50.16687500000001
612,2014-09-08,23.946666666666694,28.3,19.7,42.362222222222194
613,2014-09-09,23.99554937413068,29.4,18.1,44.046801112656475
614,2014-09-10,22.36674565560824,27.3,18.3,60.2108214849922
615,2014-09-11,19.819153674832997,26.2,16.4,70.52152932442476
616,2014-09-12,20.231811594202913,26.9,16.3,68.80289855072459
617,2014-09-13,21.358721334259943,27.9,16.0,61.680403057678944
618,2014-09-14,20.955733148019405,27.7,17.0,64.32383599722036
619,2014-09-15,20.894421199442167,28.3,16.8,67.71025104602528
620,2014-09-16,22.83912439193888,28.9,18.4,56.329881862404484
621,2014-09-17,21.53949402670415,27.3,17.4,61.37315530569226
622,2014-09-18,20.150739957716688,26.8,18.0,65.13128964059196
623,2014-09-19,19.821711456860108,25.7,16.4,66.52524752475249
624,2014-09-20,20.458819444444476,25.8,17.1,65.67611111111118
625,2014-09-21,20.362152777777773,27.1,17.2,68.8752777777779
626,2014-09-22,20.198105263157906,26.9,17.5,68.07284210526309
627,2014-09-23,21.777499999999943,28.4,17.1,62.3257638888889
628,2014-09-24,23.016868327402126,29.1,18.7,58.14960854092522
629,2014-09-25,22.41951219512194,28.0,18.1,58.846341463414575
630,2014-09-26,20.061805555555523,27.6,16.5,65.3727083333334
631,2014-09-27,22.422430555555533,28.1,17.3,58.50701388888884
632,2014-09-28,21.455277777777816,27.2,18.2,65.49513888888893
633,2014-09-29,23.299236111111085,28.5,17.8,50.08340277777774
634,2014-09-30,23.672847222222142,29.3,18.0,48.1138888888889
635,2014-10-01,23.25620182200417,28.5,18.3,49.684372810091084
636,2014-10-02,23.48639218422901,27.9,18.7,45.789392882065584
637,2014-10-03,23.46791666666676,28.4,18.6,49.23805555555547
638,2014-10-04,22.607738095238098,28.9,19.2,59.02938988095242
639,2014-10-05,21.23333333333337,29.1,18.6,65.88083333333336
640,2014-10-06,20.591319444444377,27.8,17.0,69.1086111111112
641,2014-10-07,19.576601671309167,24.3,16.1,70.96434540389976
642,2014-10-08,19.448680555555548,24.4,16.5,76.46874999999997
643,2014-10-09,17.848402777777846,20.9,16.3,80.22256944444452
644,2014-10-10,19.321597222222117,22.3,17.5,75.02465277777773
645,2014-10-11,20.448888888888828,25.3,17.5,70.41243055555566
646,2014-10-12,20.681597222222152,28.3,17.3,67.96576388888892
647,2014-10-13,20.339930555555434,25.4,17.1,70.21465277777781
648,2014-10-14,20.619930555555502,25.8,17.4,69.77993055555551
649,2014-10-15,20.102847222222216,25.3,16.9,71.5804861111112
650,2014-10-16,21.92444444444439,26.8,18.0,65.15826388888894
651,2014-10-17,20.805833333333247,27.4,18.4,66.17361111111106
652,2014-10-18,20.69331941544892,25.2,17.6,63.210299234516484
653,2014-10-19,20.419444444444373,25.7,18.2,67.27958333333329
654,2014-10-20,20.14874999999996,25.2,16.8,69.83666666666684
655,2014-10-21,21.943194444444426,28.7,18.8,66.31805555555572
656,2014-10-22,20.260000000000016,26.0,16.3,70.05569444444436
657,2014-10-23,21.307222222222208,27.3,16.0,63.11763888888888
658,2014-10-24,21.67157748436411,28.3,18.4,62.97442668519815
659,2014-10-25,20.669930555555553,26.4,17.4,68.5692361111112
660,2014-10-26,18.74951388888886,22.3,15.9,71.51770833333342
661,2014-10-27,20.54173611111115,27.0,16.6,61.23069444444438
662,2014-10-28,21.086805555555568,28.5,17.6,65.65430555555557
663,2014-10-29,19.9886411149825,27.6,15.5,70.70919860627173
664,2014-10-30,19.80027777777777,27.8,16.9,70.05041666666662
665,2014-10-31,19.69743055555557,25.4,16.7,70.72520833333324
666,2014-11-01,21.132986111111098,26.0,17.7,65.35548611111112
667,2014-11-02,21.909444444444407,27.3,18.7,64.75902777777776
668,2014-11-03,22.980138888888863,28.6,18.1,59.92534722222225
669,2014-11-04,21.48361111111113,28.3,19.1,67.70937500000001
670,2014-11-05,20.934999999999977,26.1,18.8,69.71826388888881
671,2014-11-06,20.67472222222225,27.1,18.1,72.06895833333328
672,2014-11-07,20.669930555555542,28.0,17.3,69.59631944444442
673,2014-11-08,20.381805555555573,26.5,17.7,69.22819444444451
674,2014-11-09,20.64833101529897,25.0,17.3,69.18157162726003
675,2014-11-10,19.20694927032664,24.8,16.2,74.0225156358583
676,2014-11-11,19.97569444444446,25.9,17.8,74.24104166666667
677,2014-11-12,19.111319444444334,24.8,16.6,74.36722222222221
678,2014-11-13,19.912916666666657,25.7,16.8,69.48361111111117
679,2014-11-14,19.6924305555555,25.7,18.0,70.1158333333333
680,2014-11-15,20.952517482517496,28.0,16.5,62.20160839160835
681,2014-11-16,21.14614315496871,26.9,17.9,64.24683808200133
682,2014-11-17,21.86555555555558,27.9,17.1,60.70305555555553
683,2014-11-18,21.768124999999962,27.7,18.8,61.80763888888879
684,2014-11-19,21.11705202312142,26.2,18.1,63.66271676300566
685,2014-11-20,20.853402777777724,27.2,16.9,62.94826388888887
686,2014-11-21,21.288194444444485,27.2,16.5,60.35055555555546
687,2014-11-22,20.27680555555554,26.9,17.4,67.34861111111117
688,2014-11-23,21.584433634468393,27.7,17.1,66.59402362751892
689,2014-11-24,22.192291666666616,27.3,19.4,67.1916666666667
690,2014-11-25,22.40062499999997,27.1,19.7,66.57888888888897
691,2014-11-26,20.727777777777813,24.7,19.2,67.92687499999997
692,2014-11-27,21.32187499999999,26.2,18.4,65.33250000000007
693,2014-11-28,22.312404181184622,27.6,18.4,61.338188153310035
694,2014-11-29,23.035069444444485,28.9,18.2,58.61020833333333
695,2014-11-30,22.617222222222253,27.9,19.2,60.21597222222234
696,2014-12-01,22.634305555555546,28.8,17.8,63.62236111111116
697,2014-12-02,23.497083333333315,28.5,19.4,58.96777777777782
698,2014-12-03,22.31841556636556,26.0,19.7,60.086379430159845
699,2014-12-04,21.936838440111437,27.1,18.0,62.79512534818936
700,2014-12-05,21.645972222222245,25.8,18.6,65.19020833333329
701,2014-12-06,20.527847222222235,24.8,17.4,69.47131944444438
702,2014-12-07,20.200277777777714,27.4,18.0,70.64500000000004
703,2014-12-08,20.12847222222223,26.9,17.3,71.60263888888892
704,2014-12-09,19.79444444444438,23.4,18.1,73.7979861111111
705,2014-12-10,20.482279360667082,27.5,16.3,63.819666435024324
706,2014-12-11,20.207916666666684,26.8,16.1,68.34229166666661
707,2014-12-12,21.36756944444444,27.5,18.0,65.63013888888885
708,2014-12-13,19.294097222222224,21.9,16.6,73.7401388888888
709,2014-12-14,20.386805555555487,26.1,17.4,65.54527777777778
710,2014-12-15,20.419513888888808,25.0,17.5,68.82798611111123
711,2014-12-16,21.529305555555574,26.9,17.8,64.92041666666665
712,2014-12-17,21.389715079916595,26.5,17.7,63.72995135510772
713,2014-12-18,21.34972222222228,28.3,18.1,64.83736111111114
714,2014-12-19,21.06409722222226,28.1,17.5,65.14923611111112
715,2014-12-20,21.565416666666607,27.5,18.5,64.46625000000007
716,2014-12-21,21.64576388888884,27.7,18.3,65.32701388888897
717,2014-12-22,22.40166666666671,28.6,17.7,57.335902777777804
718,2014-12-23,22.64118055555555,29.2,17.0,53.52256944444434
719,2014-12-24,22.371666666666624,28.0,17.0,56.788611111111116
720,2014-12-25,22.624513888888824,27.2,19.3,61.5997916666667
721,2014-12-26,22.84891986062716,28.9,18.2,50.52710801393735
722,2014-12-27,22.662752161383278,28.8,18.2,58.86556195965421
723,2014-12-28,23.06183844011141,27.8,19.8,54.939136490250775
724,2014-12-29,22.767152777777838,28.5,19.0,54.712222222222124
725,2014-12-30,22.607638888888918,28.0,18.5,56.73083333333332
726,2014-12-31,23.035486111111048,30.0,18.2,57.87590277777783
727,2015-01-01,22.872777777777703,29.6,18.8,53.27930555555558
728,2015-01-02,22.83118055555553,27.5,18.4,46.32618055555546
729,2015-01-03,22.81548611111108,28.7,16.7,45.84104166666665
730,2015-01-04,22.67319444444447,28.9,16.6,44.99395833333337
731,2015-01-05,22.537569444444404,27.9,17.3,49.296041666666596
732,2015-01-06,22.618459403192205,29.0,17.3,45.9020124913255
733,2015-01-07,22.205590496156532,28.5,16.2,47.08888888888884
734,2015-01-08,21.866944444444457,26.6,18.0,54.195694444444534
735,2015-01-09,22.775069444444437,28.7,17.2,51.41743055555563
736,2015-01-10,23.16826388888888,28.8,19.0,55.354097222222144
737,2015-01-11,23.667708333333383,29.0,19.2,54.263541666666676
738,2015-01-12,23.229444444444404,29.1,19.7,55.297569444444555
739,2015-01-13,21.691527777777726,24.9,18.9,62.29236111111128
740,2015-01-14,21.81034722222216,26.6,18.4,61.410833333333436
741,2015-01-15,22.370347222222208,27.2,19.3,63.580555555555556
742,2015-01-16,21.763402777777817,27.2,18.7,65.19326388888888
743,2015-01-17,21.21805555555558,26.5,18.9,64.10236111111121
744,2015-01-18,21.43993055555556,26.6,17.6,60.035625
745,2015-01-19,21.69298611111104,28.0,18.7,60.26263888888888
746,2015-01-20,21.503335649756792,27.2,18.2,60.52578179291174
747,2015-01-21,20.55187500000007,26.1,17.9,68.56895833333334
748,2015-01-22,20.13104166666674,26.6,15.9,71.11020833333325
749,2015-01-23,19.834513888888885,25.2,15.9,69.22166666666658
750,2015-01-24,21.59923611111107,27.2,18.3,64.34499999999996
751,2015-01-25,21.32069444444446,26.0,18.3,62.3650694444445
752,2015-01-26,21.768194444444447,27.3,17.6,62.03472222222206
753,2015-01-27,20.753749999999933,24.8,18.7,64.51458333333338
754,2015-01-28,20.2714583333333,25.1,16.7,63.47965277777776
755,2015-01-29,22.02347222222218,27.8,17.1,58.68416666666654
756,2015-01-30,22.06638888888889,27.2,18.5,62.5678472222222
757,2015-01-31,21.095138888888915,25.8,17.8,66.59201388888884
758,2015-02-01,22.470833333333303,27.9,18.4,60.05645833333327
759,2015-02-02,22.78930555555558,28.3,18.0,56.94666666666655
760,2015-02-03,22.66284722222222,27.3,18.9,56.81951388888889
761,2015-02-04,22.635972222222243,27.5,17.9,54.54187500000002
762,2015-02-05,21.419583333333186,27.1,18.9,61.68868055555559
763,2015-02-06,20.181041666666733,22.7,18.6,68.12875
764,2015-02-07,19.78749999999996,25.5,16.5,66.15222222222222
765,2015-02-08,19.935972222222198,26.0,17.5,69.64340277777767
766,2015-02-09,20.18651841556638,25.5,17.3,70.38561501042395
767,2015-02-10,19.777152777777818,25.6,16.7,72.73062499999997
768,2015-02-11,20.530208333333327,23.5,18.3,69.31152777777763
769,2015-02-12,21.86520833333326,27.2,18.5,63.367569444444534
770,2015-02-13,21.186775106081996,25.4,17.6,66.1981612446959
771,2015-02-14,22.208958333333275,28.4,18.2,63.32340277777783
772,2015-02-15,22.80736111111105,27.5,19.9,62.23965277777773
773,2015-02-16,23.131458333333367,29.1,19.2,59.91736111111102
774,2015-02-17,23.627569444444408,28.9,20.0,58.00583333333342
775,2015-02-18,22.704529616724752,28.3,19.3,60.058745644599405
776,2015-02-19,21.922168172341827,26.5,18.8,58.850729673384244
777,2015-02-20,21.12173611111109,28.8,17.3,59.696527777777746
778,2015-02-21,22.353541666666594,28.4,17.8,57.80006944444441
779,2015-02-22,22.44038997214497,27.7,16.6,49.780779944289634
780,2015-02-23,22.741348158443405,29.1,17.7,52.717651146629585
781,2015-02-24,22.330507296733828,27.9,19.1,57.53926337734543
782,2015-02-25,22.250000000000043,28.3,18.2,53.64368055555549
783,2015-02-26,21.745833333333344,27.6,18.8,62.284513888888924
784,2015-02-27,22.653749999999974,26.8,19.5,58.97458333333349
785,2015-02-28,21.50319444444454,28.0,18.0,64.08472222222227
786,2015-03-01,21.888611111111096,27.8,18.1,62.5439583333332
787,2015-03-02,22.035763888888855,28.4,18.3,59.87805555555561
788,2015-03-03,21.707291666666656,27.3,17.5,57.98499999999996
789,2015-03-04,22.50458333333331,28.7,18.6,58.105208333333245
790,2015-03-05,22.39075747046559,27.3,19.3,57.85621959694225
791,2015-03-06,21.362916666666592,24.2,19.7,59.33145833333341
